id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
83412126,2186358773080,"Đặc điểm nổi bậtBình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML với thiết kế nắp mở một chạm dễ dàng, chỉ cần đẩy nhẹ sang trái để mở khóa đồng thời mở nắp.Miệng cốc rộng d...",288000,528000,,240000,45,3538,,available,,1000,1000,,48077,LocknLock
73124602,7494611465205,Đặc điểm nổi bậtBình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.Bình...,372000,677000,,305000,45,7052,,available,,1000,1000,,48077,LocknLock
72652196,3682958491061,"Bộ túi hộp cơm thủy tinh L&L 3EA LLG428S2 thiết kế đơn giản và trang nhã với họa tiết kẻ sọc.Tiện lợi và dễ dàng mang theo với dây đeo dài.Lớp bạc cách nhiệt bên trong, luôn giữ cho thực phẩm ...",367000,649000,,282000,43,694,,available,,1000,1000,,48077,LocknLock
53789448,6888275518789,   BẠN MUỐN MUA THÊM SẢN PHẨM KHÁC CỦA PARROTI Bộ lau nhà ProMax - Size LớnThùng rác Parroti BinCọ bồn cầu Parroti Silicon Bộ cây lau nhà thông minh tự vắt Parr...,399000,399000,,0,0,3819,,available,,1000,1000,,746615,Parroti
53583472,4451468802389,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa) được làm bằng chất liệu thép không gỉ cao cấp, không những bền chắc mà còn mang lại hi...",867000,1667000,,800000,48,2699,,available,,1000,1000,,48077,LocknLock
17423771,1693054414764,Hàng năm có khoảng 600 triệu viên pin bị vứt bỏ. Số lượng pin này xếp dài ra sẽ tương đương quãng đường từ Anh sang Úc!Pin có nhiều loại với nhiều kích thước khác nhau: Có viên pin có kích thước chỉ n...,70000,100000,,30000,30,707,,available,,1000,1000,,18804,Panasonic
10407749,7222292124469,"Chảo Chống Dính Smartcook được làm bằng hợp kim nhôm nguyên chất, bên trong phủ 2 lớp chống dính Greblon cao cấp an toàn và siêu bền, không giải phóng chất PFOA gây ung thư.Bên ngoài phủ sơn chống dí...",188000,239000,,51000,21,27,,available,,1000,1000,,31626,Smartcook
3480627,9330774535233,"Đặc điểm nổi bậtBộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông LauThùng chứa được làm bằng chất liệu nhựa PP cao cấp, chất lượng, có khả năng chịu được va đậ...",509000,924000,,415000,45,1331,,available,,1000,1000,,48077,LocknLock
1657931,2083613875744,"Đặc điểm nổi bậtVợt muỗi Sunhouse SHE-E200 có kiểu dáng gọn nhẹ kết hợp hài hòa giữa màu vàng và màu trắng tạo nên chiếc vợt vừa hiện đại, vừa đẹp mắt.Vợt có trọng lượng nhẹ nên rất dễ sử dụng và b...",76100,119000,,42900,36,1374,,available,,1000,1000,,41048,Sunhouse
892141,9969906367307,"QUY CÁCH ĐÓNG GÓI : 12 Viên / 1 sản phẩm ( 8+4 )Pin Max 8 + 4 Viên Energizer E92 BP8+4 AAA là sản phẩm có thể sử dụng cho các loại máy ảnh, điều khiển từ xa, đèn Pin, máy chơi game không dây, máy ng...",135000,180000,,45000,25,347,,available,,1000,1000,,19312,Energizer
892121,8567702194984,"Quy cách đóng gói : 12 viên pin ( 8+4)Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA là sản phẩm có thể sử dụng cho các loại máy ảnh, điều khiển từ xa, đèn Pin, máy chơi game không dây, máy nghe nhạc MP3...",128000,180000,,52000,29,424,,available,,1000,1000,,19312,Energizer
548911,1225378108342,"  Combo 4 Chai Thủy Tinh Quattro Bormioli Rocco QS19 - 400ml   sản xuất tại Ý được làm từ chất liệu thủy tinh cao cấp với các đặc tính như kín hơi, đảm bảo vệ sinh, dễ chùi rửa, màu sắc khó phai. Đặc...",327000,403000,,76000,19,92,,available,,1000,1000,,41506,Bormioli Rocco
